donor_name,canonical_name,total_given,rank_overall
Bernard Van Leer Foundation,Bernad Van Leer Foundation,32742215.02,1469
BERNARD VAN LEER FOUNDATION,Bernad Van Leer Foundation,17939768.62,2631
Bernhard Schulte Shipmanagement India Pvt Ltd,,16911759,2755
BesuchHans Cristain Dankergeschenke,,16143421.31,2870
BETA CHARITABLE TRUST,Beta Charitable Trust,35801092,1313
Beta Charitable Trust,Beta Charitable Trust,23582998,2077
BETHANIA KIDS,,98609908.39,435
Bethany Ashram Generalate,,19634926.62,2423
BETHESDA LIFE CENTRE,Bethesda Life Centre,34539395,1373
BETHESDA PROJECT,Bethesda Project,11305314.78,3899
BETTER COTTON INITIATIVE,Better Cotton Initiative,89750570.4,481
Better Cotton Initiative,Better Cotton Initiative,24598238.6,1972
Better World Organization,,24389581,1996
BftW,Bread for the World,42029108.98,1095
BH FOUNDATION,,24484808,1986
BHAGVATINANDJI EDUCATION AND HEALTH TRUST,,14868370,3065
BHARUCH MUSLIM MEDICAL AND WELFARE TRUST,,33196450,1445
Bhojraj Hassomal Charitable Trust,,10000000,4298
BIBLE LEAGUE INTERNATIONAL PTY LTD,,25366080.85,1899
BIBLE MEDIA,,8937675.31,4693
BIBLE TABERNACLE CHURCH,,8285110.86,4975
Bibles For All Ministries,,14095860.17,3204
Bibles For The World,,257369362.5,135
BIDADA INTERNATIONAL FOUNDATION,Bidada International Foundation,26291732,1847
Bidada International Foundation,Bidada International Foundation,17404135,2695
Bihar Voluntary Health Association,,13798071,3263
BIHAR YOGA BHARATI,,100000000,426
BILD INTERNATIONAL,,105943833.2,395
Bill   Melinda Gates Foundation,Bill and Melinda Gates Foundation,168358104.4,236
Bill  and Melinda Gates Foundation,Bill and Melinda Gates Foundation,19920907,2396
Bill and Melinda Gates Foundation,Bill and Melinda Gates Foundation,3875433640,1
BILL AND MELINDA GATES FOUNDATION,Bill and Melinda Gates Foundation,375606935.9,80
Bill And Melinda Gates Foundation,Bill and Melinda Gates Foundation,147097966.7,275
Bill AND Melinda Gates Foundation,Bill and Melinda Gates Foundation,129605508,324
Bill And Melinda Gates foundation,Bill and Melinda Gates Foundation,20023899.52,2382
Bill Melinda Gates Foundation,Bill and Melinda Gates Foundation,461346585.8,66
Bill Melinda Gates foundation,Bill and Melinda Gates Foundation,10786264.29,4048
Bill P Melinda Gates Foundation,Bill and Melinda Gates Foundation,72152170.5,600
BILLYGRAHAM EVANGELISTIC ASSOCIATION,,33725613.05,1412
BILTEMA FOUNDATION,,97731798,439
Bina Sareen Living Trust,,14689395.67,3087
Binda Foundation,,30207296,1601
BINOY MANDAPATHIL,,10550840,4125
Bio  Re Foundation,,62268805,723
Biotechnology Industry Research Assistance Council,Biotechnology Industry Research Assistance Council,44689480,1016
Biotechnology Insdustry Research Assistance Council BIRAC,Biotechnology Industry Research Assistance Council,18000000,2625
BISCHOCFLICHES GENERALVIKASIAT,,11677124,3798
Bischofliches Ordinariat,,18544745.06,2559
Bistum Augsburg,,15826381.41,2915
BJS Distribution Storage and Couriers Ltd,,22588586.4,2160
BLACKBURN UK TRUST,,10460286,4153
BLACKSTONE ADVISORS INDIA PRIVATE LIMITED,,10561000,4121
Blind Foundation For India,,13781615.27,3267
Blue Dart Express Limited,,13657106,3292
BMW INDIA FINANCIAL SERVICES,,13238530,3397
BNP Paribas,,37614790.79,1252
BNP TRUST,,9985147,4310
BNPT JT CHARITY POOL,,15274170,3009
BNY Mellon Community Partnership,,28713289,1681
BNY Mellon International Operations India Private Limited,BNY Mellon International Operations India Pvt Ltd,12889047,3476
BNY Mellon International Operations India Pvt Ltd,BNY Mellon International Operations India Pvt Ltd,33242896.91,1439
BNY Mellon International Operations India Pvt LTd,BNY Mellon International Operations India Pvt Ltd,16069251,2881
BNY MELLON INTERNATIONAL OPERATIONS INDIA PVT LTD,BNY Mellon International Operations India Pvt Ltd,15949457.5,2896
BNY Mellon International Private Limited,BNY Mellon International Operations India Pvt Ltd,25000000,1927
BNY Mellon WEP,BNY Mellon International Operations India Pvt Ltd,12571233.5,3568
Board for Research Education and Development,,12891913.02,3475
Board of International Ministries,,29472979.83,1636
Bobwilkine,,8709266.82,4789
BOCHASANWASI SHRI AKSHARPURUSHOT TAM PUBLIC CHARITABLE TRUST,,50000000,884
Boeing,Boeing,17694831.96,2659
Boeing Aircraft,Boeing,11481401.31,3858
Boeing International Corporation India Pvt Ltd,,22844630,2135
Bohemian Foundation,,21916217.5,2209
Bombay Salesian Society,Bombay Salesian Society,24120560,2018
Bombay Teen Challenge USA,,183470078.3,207
BON FOUNDATION,,8740215.43,4776
Bon Shen Ling,,12251965,3657
BONO DIREKTHILIFE e v,,28007559.7,1720
Born Free Foundation,,22353175.4,2179
Bosco Net,Bosco Net,10243842,4221
Bosco Reach Out,,17221536.3,2717
Bosco Seva Kendra,,72134249.8,601
BOSCONET,Bosco Net,18531859,2561
Both Ends,Both Ends,70629015.23,614
Both ENDS,Both Ends,23290594.81,2099
Both ENDS Foundation,Both Ends,48442962,926
BOYS AND GIRLS CHRISTIAN,,49793002,894
BP EXPLORATION ALPHA LIMITED,,13267137.2,3390
BRAHMA KUMARI WORLD SPIRITUAL UNIVERSITY,,22391812,2174
BRAHMA KUMARIS WORLD SPIRITUAL ORGANISATION,,10371190,4184
Brahmanand Saraswati Foundation,Brahmananda Saraswati Yagya Foundation,18069623,2620
Brahmanand Saraswati Trust,,10151250,4246
Brahmananda Saraswati Foundation,Brahmananda Saraswati Yagya Foundation,1007362163,23
Brahmananda Saraswati Foundation of Canada,,51561308,863
Brahmananda Saraswati Yagya Foundation,Brahmananda Saraswati Yagya Foundation,429601824.4,72
Bread for the World,Bread for the World,664586485.5,40
BREAD FOR THE WORLD,Bread for the World,86586968.16,502
Bread For the World,Bread for the World,36507564,1288
bread for the world,Bread for the World,34665196,1360
Bread for the world,Bread for the World,24090176.19,2022
Bread for the World BFDW,Bread for the World,49863635.8,891
Bread for the World Protestant Development Service,Bread for the World,61665687.63,735
BREAD FOR THE WORLD PROTESTANT DEVELOPMENT SERVICE,Bread for the World,24470494,1987
Bread for the world protestant Development Service,Bread for the World,22886232,2129
Bread for the world Protestant Development Service,Bread for the World,11639812.37,3807
Bread for the World Protestant Development Service Protestant Agency for Diakonia and Development,Bread for the World,12261493.83,3655
Bread of Life Ministries,,63410690,700
BREADS,Bangalore Rural Education and Development Society,11221535,3925
BREADS BANGALORE,Bangalore Rural Education and Development Society,28619967,1685
Breakthrough Trust,,26433620,1836
BREMBO BRAKE INDIA PRIVATE LIMITED,,18589819,2552
BREMEN OVERSEAS RESEARCH AND DEVELOPMENT ASSOCIATION,,134085838.6,310
Brenda Howley,,14057389,3213
Bretheren in Christ World Mission  US,Bretheren in Christ World Mission,8230179.69,4999
BRETHREN IN CHRIST WORLD MISSION,Bretheren in Christ World Mission,26378554.3,1843
Bridge Builders,Bridge Builders,570715833,49
BRIDGE BUILDERS,Bridge Builders,17533202.2,2681
Bridgestone India Private Limited,,13650000,3295
Bridgetown Church of Christ,,17626922.56,2668
Brighter Future International Trust,,39250869.5,1196
BRIGHTER FUTURE INTERNATIONAL TRUST,,38428184,1223
Bristol Myers Squibb Foundation Inc,,11484643,3855
BRISTOL MYERS SQUIBB FOUNDATION INC,,9944110,4334
British Asian Trust,,8985761.16,4674
British High Commission,,11298909.76,3903
Broadcom communications Technologies Pvt Ltd,,10312939.99,4197
Broadleaf Health And Education Alliance,,12315367.16,3638
BROOK HOSPITAL FOR ANNIMAL INDIA,Brooke Hospital for Animals,14846402,3068
Brooke Hospital for animal India,Brooke Hospital for Animals,16334870,2844
Brooke Hospital for Animals,Brooke Hospital for Animals,10628435,4103
BROOKE HOSPITAL FOR ANIMALS INDIA,Brooke Hospital for Animals,43199120,1058
Brooke Hospital for Animals India,Brooke Hospital for Animals,40956334,1127
Brooke Hospital For animals India,Brooke Hospital for Animals,11600088,3824
BROOKE INDIA,Brooke Hospital for Animals,13151502,3418
BROT FUE DIE WELT EVANGELISCHER ENTWICKLUNGSDI ENST,Bread for the World,28744051,1679
Brot fue die Welt Evangelischer Entwicklungsdienst,Bread for the World,32928513,1455
Brot fur die Welt,Bread for the World,15256686.58,3011
Brot fur die Welt Bread for the World Protestant Development Service,Bread for the World,66856335,651
BROWN UNIVERSITY,Brown University,8410842.16,4926
Bruce Technology co LTD,,8640483,4828
BT Global Communications India Private Limited,,12413495,3614
Buddha Haus Meditations and studienzentrum ev,,35613997.92,1323
BUDDHIST FOUNDATION,,136240130,300
BUREAU OF DEMOCRACY RIGHTS AND LABOUR,US Department of State,11100519.72,3963
BW Maritime Pte Ltd,,26210693,1849
C and A Foundation,C and A Foundation,289598031,112
C AND A Foundation,C and A Foundation,11540881.12,3836
C F I  INC,,17912110,2634
CA INDIA TECHNOLOGIES PVT LTD,CA Technologies India Pvt Ltd,15506200,2966
CA Technologies India Pvt Ltd,CA Technologies India Pvt Ltd,13148661,3419
Cadence Design Systems I P Ltd,,9200000,4607
CAF America,Charities Aid Foundation - United States,36778304.41,1277
CAF INDIA,Charities Aid Foundation - India,35512562,1326
CAF INDIA ORACLE,Oracle,13272060,3389
CAIRN INDIA LIMITED,Cairn India Ltd,231185135,147
CAIRN INDIA LTD,Cairn India Ltd,23687866.26,2066
CALCUTA ONDOAN,,9378390,4545
Calcutta de la Rue a lecole,,18489201,2568
Calcutta Mercy Ministry USA,,62524944.48,717
Calcutta Rescue Fund,Calcutta Rescue Fund,12471100.4,3597
Calcutta Rescue Fund UK,Calcutta Rescue Fund,15860949.56,2911
CALVARY BAPIST FOUNDATION,,31104770,1551
calvary chapel Boise,,266256816,130
CALVARY CHAPPEL,,17673089.3,2662
Calvary United Methodist Church,,23840986.8,2051
Campaign for Tobacco Free Kids,,9853025.29,4374
Campus Crusade for Christ Asia,,530641320,53
Canadian Carmelite Charitable Society,,47814195,943
CANADIAN CARMELITE CHARITABLE SOCIETY,,20411827,2350
CANADIAN FOOD GRAIN BANK,Canadian Food Grains Bank,28004852,1722
CANADIAN FOOD GRAINS BANK,Canadian Food Grains Bank,47461443.53,950
CANADIAN JESUIT MISSION,Canadian Jesuits Mission,38613512.02,1216
CANADIAN JESUIT MISSIONS,Canadian Jesuits Mission,66845145.52,652
Canadian Jesuits International,Canadian Jesuits Mission,9118614.03,4633
CANCER INSTITUTE WIA FOUNDATION INC,,38301437,1232
Canon India Pvt Ltd,,8418484,4921
CANOSSIAN FOUNDATION,,13463247,3340
Capegemini India Pvt Ltd,,8266069,4984
CAPGEMINI ERNST YOUNG SVERIGE AB,,12922358.52,3467
CAPGEMINI INDIA,Capegemini India Pvt Ltd,9903800,4346
CAPGEMINI INDIA PRIVATE LIMITED,Capegemini India Pvt Ltd,19019712,2494
Capgemini India Pvt Ltd,Capegemini India Pvt Ltd,12499160,3589
Capuchin General Curia,Capuchin General Curia,27895092.18,1732
CAPUCHIN GENERALATE,Capuchin General Curia,18645560,2539
Care and Fair Europe,,16456952,2824
CARE AND SHARE,Care and Share,14157674.11,3193
Care and Share Italia Onlus,Care and Share,61844140.4,729
Care and Share Onlus Italia ONG,Care and Share,32673642,1470
CARE Child Adoption Rehabilitation Endeavours,,19297682,2462
CARE FOR KIZ,,13956713.63,3234
care for vrindavan inc,,45550073,990
CARE India,Care India Solutions for Sustainable Development,11909620,3731
Care India Inc,CARE India Inc,46527107.39,970
Care India Inc.,CARE India Inc,9360138.41,4555
Care India Solutions for Sustainable Development,Care India Solutions for Sustainable Development,14524723.22,3112
CARE INDIA SOLUTIONS FOR SUSTAINABLE DEVELOPMENT,Care India Solutions for Sustainable Development,8874824,4723
Careducation Trust U K,,8610000,4845
Caridad St Ana Curia General,,9783816.55,4392
Carin India Ltd,,25230596.6,1912
Caring Hand for Children,,9722808.25,4414
CARITAS,Caritas,46883583.49,963
Caritas,Caritas,36436776.1,1293
CARITAS AUSTRIA,Caritas,16640488.9,2790
Caritas Austria,Caritas,9259942,4580
CARITAS DANMARK,Caritas,11837028,3753
Caritas Denmark,Caritas,18887687,2510
CARITAS GERMANY,Caritas,53314127,838
Caritas Germany,Caritas,10422583.32,4167
Caritas India,Caritas,220985612.1,154
CARITAS INDIA,Caritas,138426601,297
CARITAS India,Caritas,15976322,2894
CARITAS ITALIANA,Caritas,19232432,2465
Caritas of Archdiocese of Prague,Caritas,10618469.8,4108
Caritas of the Archdiocese of Prague,Caritas,13953898,3235
Caritas Semiorenzentrum,Caritas,14123786.74,3200
CARITAS SWITZERLAND,Caritas,9811633,4386
Carmel Convent,,10149519,4250
Carmel of St Joseph,,32290122,1485
Carmel Prayer Tower Inc,,135337331,303
CARMEL SCHOOL,,51486851.97,865
Carmelite Fathers,,8330744.73,4958
Carmelite Mission,,16018616,2886
CARMELITE MISSION CARMELITE PROVINCIAL HOUSE,,10200322.15,4228
Carmelite Monastery,,21447760.3,2248
Carmelites of Mary Immuculate,,21843868,2216
Cartier Charitable Foundation,,58388000,775
CARTIER CHARITABLE FOUNDATION,,16553125,2803
Cartier Philantrophy,,27632000,1749
Carumanda,,9687173,4429
CASA,,27596769.1,1753
CASA GENERALIZIA,Casa Generalizia,38053885,1239
Casa Generalizia,Casa Generalizia,35649326,1321
Casa Generalizia Delle,,12414512,3613
Casa Generalizia OMI,,15206015,3019
Casa Generalizia Sac. Sacro Cuore Di Gesu,,8373875,4941
CASA GENERALIZIA SUORE FRANCESCANE INSEGNATI,,17310475.25,2705
CASA MADRE Domenicane,,11228183,3921
CASA PROVINCIAL,,47446400,952
CATHOLIC  RELIEF SERVICES,Catholic Relief Services,9664734.67,4443
CATHOLIC DIOCESE BELGAUM,,32843847,1460
Catholic Diocese of Jackson,,10670314.94,4090
Catholic Diocese of Jagdalpur,,17854645,2644
Catholic Diocese of Kottayam,,16851000,2763
Catholic Diocese of Stockholm,,39292691,1195
Catholic Health Association of India,Catholic Health Association of India CHAI,20566964.58,2334
Catholic Mission,,20020730.72,2383
Catholic Near East Welfare Association,,22874276.38,2130
Catholic Pastoral Centre,,8385375.07,4934
Catholic Relief Service,Catholic Relief Services,14186834.58,3186
Catholic Relief Service USCCB,Catholic Relief Services,28805448.03,1673
Catholic Relief Services,Catholic Relief Services,145211632.4,281
CATHOLIC RELIEF SERVICES,Catholic Relief Services,26627458.2,1824
Catholic Relief Services USCCB,Catholic Relief Services,39596149.08,1185
CBCI Society for Medical Education,,49269847,906
CBG Foundation for Humanity Education,,11421213,3871
CBM,CBM Christoffel Blindenmission,292890603.1,110
CBM  Christoffel Blindenmission Christian Blind Missiion,CBM Christoffel Blindenmission,26885619.5,1801
CBM Chrisoffel Blindenmission Christian Blind Mission e V,CBM Christoffel Blindenmission,10310145,4200
CBM CHRISTOFFEL BLIND ENMISSION CHRISTIAN BLIND MISSION,CBM Christoffel Blindenmission,17604182.7,2670
CBM Christoffel Blinden Mission,CBM Christoffel Blindenmission,13562952,3318
CBM Christoffel Blindenmission,CBM Christoffel Blindenmission,103294036.5,405
CBM Christoffer Blindenmission,CBM Christoffel Blindenmission,14037863,3215
CBM INDIA TRUST,CBM India Trust,49909268.16,888
CBM India Trust,CBM India Trust,11369426,3885
CBM SARO,,42949768,1069
Ccara e v,,22521216,2164
CCFD Terre Solidaire,,13253531,3392
CDH International Foundation Inc,,9492117.8,4511
CECEMEL LIMITED,,20091884,2377
CECIL WILLIAMSON MINISTRY,,13629319,3299
CEDAR FUND,,71113639,608
CEI,CEI Italian Bishops Conference,22258040,2182
CEI Conferenza,CEI Italian Bishops Conference,23113317,2113
CEI Conferenza Episcopale Italiana,CEI Italian Bishops Conference,13849909,3255
CEI Italian Bishop Conference,CEI Italian Bishops Conference,16386909,2835
CEI ITALIAN BISHOPS CONFERENCE,CEI Italian Bishops Conference,12247539,3659
CEI Italian BishopS Conference Committee for Charitable Action in The Third World,CEI Italian Bishops Conference,12704850,3536
CEI ITALIAN BISHOPS CONFERENCE COMMITTEE FOR CHARITABLE ACTION IN THIRD WORLD,CEI Italian Bishops Conference,10287405,4207
CENTER FOR EDUCATION AND COMMUNICATION,,14268883.4,3167
Center for Policy Research,,17862386,2642
Center for World Solidarity,Centre for World Solidarity,20694997,2325
CENTER FOR WORLD SOLIDIARTY,,11769265.87,3772
CENTERS FOR DISEASE CONTROL AND PREVENTION,Centers for Disease Control and Prevention,153695841,259
Centers for Disease Control and Prevention,Centers for Disease Control and Prevention,54365054.99,826
CENTRAL FUND OF THE ARCHDIOCESE OF GOA AND DAMAN,,8503603,4885
CENTRAL INDIA CHRISTIAN MISSION,,791957727.7,30
CENTRALUS OPERATIONS LLP,,81726555,537
Centre for Advanced Research and Development,,16105771.63,2877
Centre for Catalyzing Change,,35377915,1335
Centre for Disease Control and Prevention,,225931518,150
CENTRE FOR ECONOMIC AND POLICY RESEARCH,Centre for Economic and Policy Research,8956430.61,4686
Centre for Environment Education,Centre for Environment Education,19367579,2456
CENTRE FOR ENVIRONMENT EDUCATION,Centre for Environment Education,10162152,4244
Centre for Micro Finance,,84112691,519
Centre for World Solidarity,Centre for World Solidarity,23311534,2097
CENTRE FOR WORLD SOLIDARITY,Centre for World Solidarity,10932523.5,4004
CENTRE FOR WORLD SOLIDARITY CWS,Centre for World Solidarity,18940356.4,2503
Centro Italiano Aiuti all Infanzia,,8830362.12,4742
CESVI,,30923118,1561
CET Academic Programs,,61923169,728
CFA INSTITUTE,CFA Institute,62722187.33,711
CFA Institute,CFA Institute,51633713.38,862
CFPE,CFPE France,42231370.5,1090
CFPE France,CFPE France,8552553,4866
CHAI,Catholic Health Association of India CHAI,24982011.37,1933
CHAI India,Catholic Health Association of India CHAI,9574979,4480
CHAIN OF HOPE FOUNDATION,,15917301.02,2900
CHALICE,Christian Child Care International (CHALICE),182437573.3,209
Chalice,Christian Child Care International (CHALICE),35743942,1316
Chalice Canada,Christian Child Care International (CHALICE),44718076.2,1015
CHALICE CANADA,Christian Child Care International (CHALICE),28123693.33,1714
CHALICE CHRISTIAN CHILD CARE INTERNATIONAL,Christian Child Care International (CHALICE),30459683,1583
CHAMPALIMOUND FOUNDATION,,30292710,1596
Chance fuer Morgen,,14433303.59,3129
CHANDLER FOUNDATION,,8687597,4803
Chandler Holdings Group Limited,,11910978.72,3730
CHANG GUO CHU,,11214992,3928
Charitable Care Foundation,,27975599.76,1726
CHARITABLE CARE FOUNDATION,,19405225,2452
Charities Aid Foundation,Charities Aid Foundation,193400351.9,188
CHARITIES AID FOUNDATION,Charities Aid Foundation,47802101.34,944
